INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME
228798151,05/27/2021,21:30:00
137471050,06/27/2014,17:40:00
147998800,11/21/2015,03:56:00
146837977,10/09/2015,18:30:00
58921844,02/19/2009,22:58:00
219559682,10/21/2020,21:36:00
85295722,06/17/2012,22:47:00
71662474,03/08/2010,19:41:00
83002139,02/05/2012,05:45:00
86437261,08/26/2012,01:10:00
74998200,10/10/2010,03:21:00
74363835,08/29/2010,01:27:00
234756217,10/09/2021,20:17:00
78961869,05/25/2011,21:58:00
53891791,11/09/2008,20:13:00
32914993,07/05/2007,01:27:00
73879554,07/27/2010,02:22:00
87694905,11/14/2012,21:07:00
230311079,07/01/2021,02:44:00
225297069,03/07/2021,21:17:00
140791304,02/01/2015,23:16:00
140340393,12/28/2014,19:53:00
215767018,07/24/2020,01:30:00
10619080,03/03/2006,11:15:00
34979907,10/11/2007,20:11:00
165264362,05/27/2017,12:00:00
64110714,07/26/2009,03:47:00
78644238,05/09/2011,18:49:00
151624171,03/28/2016,19:10:00
89514645,03/06/2013,04:08:00
10187514,01/21/2006,21:49:00
84704352,05/13/2012,12:34:00
34864269,10/06/2007,18:18:00
11118846,04/14/2006,19:35:00
174579538,02/08/2018,20:16:00
94046068,12/15/2013,17:30:00
80165538,08/06/2011,08:55:00
86437257,08/25/2012,06:00:00
33635440,08/07/2007,21:30:00
235757726,10/31/2021,14:24:00
233762539,09/18/2021,19:41:00
158566071,11/17/2016,01:00:00
166268793,06/20/2017,22:30:00
24659051,10/04/2006,20:33:00
226500707,04/04/2021,23:15:00
66629764,10/09/2009,04:00:00
85209346,06/11/2012,23:17:00
46538075,05/17/2008,22:50:00
37207873,12/23/2007,21:09:00
94814972,02/07/2014,06:25:00
33654457,08/09/2007,15:28:00
214729488,06/29/2020,20:56:00
75546157,11/14/2010,15:15:00
88638007,01/18/2013,00:04:00
72058235,04/03/2010,04:00:00
16631430,05/18/2006,20:16:00
55177455,12/24/2008,06:46:00
153724448,06/05/2016,00:36:00
24248675,09/10/2006,02:00:00
73492927,07/02/2010,01:56:00
16631508,05/31/2006,00:37:00
152662569,05/01/2016,20:15:00
230418793,07/02/2021,23:13:00
142961824,05/16/2015,00:30:00
69223004,12/24/2009,23:47:00
224817400,02/24/2021,14:00:00
138429906,08/27/2014,22:36:00
171866986,11/21/2017,22:25:00
211767651,04/05/2020,03:19:00
173914520,01/22/2018,22:50:00
74648839,09/16/2010,00:11:00
73719656,07/16/2010,20:30:00
82124624,12/11/2011,04:00:00
201384969,08/20/2019,21:25:00
235964022,11/05/2021,22:10:00
140105763,12/08/2014,16:15:00
63106907,06/25/2009,01:46:00
25313903,11/15/2006,19:17:00
65323134,09/01/2009,16:00:00
88547669,01/13/2013,03:25:00
28883127,05/05/2007,00:39:00
36260245,12/11/2007,12:35:00
45710115,04/15/2008,06:03:00
140591801,01/16/2015,21:50:00
178830276,05/01/2018,11:00:00
93924058,12/06/2013,22:05:00
75866798,12/06/2010,15:00:00
166413154,06/25/2017,02:02:00
32787000,06/28/2007,22:19:00
227950667,05/09/2021,19:43:00
93312839,10/29/2013,00:26:00
49834896,08/04/2008,03:54:00
10804594,03/27/2006,08:45:00
226654026,04/07/2021,02:07:00
204458419,11/02/2019,10:37:00
140435608,01/05/2015,16:58:00
61170259,04/27/2009,01:05:00
236325239,11/15/2021,17:55:00
215767017,07/24/2020,17:32:00
85875439,07/22/2012,21:35:00
79896470,07/20/2011,12:39:00
174579221,02/09/2018,00:12:00
80605485,09/06/2011,02:20:00
190170259,11/19/2018,00:05:00
10953934,04/10/2006,08:59:00
77066910,01/31/2011,03:18:00
23354127,07/08/2006,00:44:00
10411006,02/09/2006,14:55:00
234208836,09/28/2021,20:40:00
84340916,04/22/2012,02:27:00
168461315,08/24/2017,22:33:00
156521519,09/07/2016,22:48:00
91612689,07/13/2013,02:05:00
75544372,11/14/2010,02:00:00
87515017,11/01/2012,15:43:00
237508167,12/07/2021,21:10:00
33725015,08/12/2007,00:50:00
182363095,05/06/2018,20:57:00
68994302,12/17/2009,23:55:00
28980868,05/12/2007,21:31:00
88329917,12/29/2012,22:28:00
60025216,03/28/2009,23:50:00
36379172,12/16/2007,02:52:00
51678152,09/26/2008,10:54:00
140186726,12/15/2014,00:30:00
148865203,12/24/2015,22:55:00
197997725,06/03/2019,07:07:00
83859901,03/24/2012,00:43:00
199247701,07/03/2019,00:04:00
92563658,09/11/2013,01:40:00
168080334,08/12/2017,23:34:00
150543224,02/19/2016,23:50:00
32178480,06/12/2007,00:38:00
80149332,08/04/2011,23:15:00
159596333,12/22/2016,21:20:00
222075197,12/20/2020,15:08:00
169924413,09/29/2017,19:30:00
36362038,12/16/2007,17:30:00
52409038,10/22/2008,18:53:00
217077237,08/26/2020,18:15:00
159282177,12/12/2016,19:22:00
229507142,06/11/2021,22:50:00
10187489,01/15/2006,20:00:00
62525250,06/07/2009,00:10:00
229507546,06/12/2021,14:24:00
49514585,07/29/2008,17:35:00
73063488,06/06/2010,05:18:00
75432709,11/06/2010,03:30:00
160509155,01/21/2017,19:43:00
137473574,06/29/2014,04:00:00
70881715,01/24/2010,04:02:00
226654025,04/07/2021,01:08:00
136811337,05/18/2014,17:46:00
94250212,12/31/2013,00:01:00
236362255,11/16/2021,08:33:00
55449314,01/05/2009,21:58:00
23733992,08/06/2006,21:32:00
231635823,07/30/2021,16:30:00
24224969,09/08/2006,22:15:00
52380391,10/21/2008,01:55:00
235839217,11/02/2021,09:06:00
16733761,06/08/2006,15:23:00
33493584,07/31/2007,01:32:00
84830052,05/19/2012,03:59:00
38285830,01/24/2008,15:04:00
54810803,12/11/2008,21:00:00
79008022,05/27/2011,22:13:00
146462285,09/25/2015,21:15:00
186606589,08/17/2018,19:57:00
72181025,04/12/2010,14:56:00
229540933,06/14/2021,22:19:00
235116950,10/17/2021,14:02:00
23354060,06/28/2006,08:26:00
139446952,10/31/2014,04:00:00
74479751,09/06/2010,00:41:00
238009968,12/18/2021,00:15:00
94985606,02/19/2014,14:42:00
80855402,09/23/2011,04:23:00
168306062,08/19/2017,17:15:00
142414015,04/24/2015,16:48:00
85250456,06/13/2012,10:43:00
49255314,07/26/2008,18:54:00
87349060,10/21/2012,21:36:00
86416091,08/24/2012,00:32:00
29059033,05/15/2007,22:11:00
10904915,04/04/2006,19:15:00
92431740,09/03/2013,23:50:00
83871104,03/25/2012,20:32:00
23749375,08/07/2006,22:06:00
216692583,08/17/2020,04:10:00
37695073,01/11/2008,19:03:00
228109390,05/12/2021,23:11:00
26805787,02/10/2007,18:45:00
83751047,03/19/2012,14:29:00
73037921,06/04/2010,03:40:00
54080623,11/16/2008,02:05:00
57938888,02/17/2009,18:30:00
79606253,07/02/2011,13:36:00
63389656,07/04/2009,22:07:00
24675455,10/06/2006,13:40:00
47405920,06/21/2008,21:00:00
62014857,05/22/2009,20:12:00
85518939,07/01/2012,01:30:00
238344522,12/27/2021,15:48:00
