INCIDENT_KEY,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE
228798151,QUEENS,,105,0,,,FALSE,,,,18-24,M,BLACK
137471050,BRONX,,40,0,,,FALSE,,,,18-24,M,BLACK
147998800,QUEENS,,108,0,,,TRUE,,,,25-44,M,WHITE
146837977,BRONX,,44,0,,,FALSE,,,,<18,M,WHITE HISPANIC
58921844,BRONX,,47,0,,,TRUE,25-44,M,BLACK,45-64,M,BLACK
219559682,BROOKLYN,,81,0,,,TRUE,,,,25-44,M,BLACK
85295722,QUEENS,,114,0,,,FALSE,,,,25-44,M,BLACK
71662474,BROOKLYN,,81,0,,,TRUE,,,,18-24,M,BLACK
83002139,QUEENS,,105,0,,,FALSE,,,,25-44,M,BLACK
86437261,QUEENS,,101,0,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK
74998200,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK
74363835,BROOKLYN,,75,0,,GROCERY/BODEGA,FALSE,25-44,M,BLACK,25-44,M,BLACK
234756217,BROOKLYN,,71,0,,,FALSE,,,,25-44,M,BLACK
78961869,BRONX,,50,0,,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,WHITE
53891791,BROOKLYN,,78,2,,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,U,UNKNOWN,25-44,M,BLACK HISPANIC
32914993,BRONX,,47,2,,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,UNKNOWN,18-24,M,BLACK
73879554,MANHATTAN,,30,0,,,TRUE,25-44,M,BLACK,25-44,M,BLACK
87694905,BROOKLYN,,81,0,,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,BLACK
230311079,BROOKLYN,,73,0,,,FALSE,,,,25-44,M,BLACK
225297069,BROOKLYN,,71,0,,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,WHITE
140791304,MANHATTAN,,30,0,,,TRUE,18-24,M,BLACK,18-24,F,BLACK
140340393,BROOKLYN,,84,0,,,FALSE,,,,18-24,M,BLACK
215767018,BROOKLYN,,78,0,,,FALSE,,,,25-44,M,BLACK
10619080,BROOKLYN,,90,0,,JEWELRY STORE,FALSE,UNKNOWN,M,BLACK,45-64,M,WHITE
34979907,BRONX,,47,0,,,FALSE,45-64,M,BLACK,25-44,M,BLACK
165264362,QUEENS,,105,0,,,FALSE,,,,18-24,M,BLACK
64110714,BROOKLYN,,60,2,,MULTI DWELL - PUBLIC HOUS,TRUE,,,,18-24,M,BLACK
78644238,BRONX,,48,0,,MULTI DWELL - APT BUILD,TRUE,,,,25-44,M,WHITE HISPANIC
151624171,BRONX,,47,0,,MULTI DWELL - APT BUILD,FALSE,25-44,F,BLACK HISPANIC,45-64,M,BLACK
89514645,QUEENS,,106,0,,,TRUE,25-44,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC
10187514,MANHATTAN,,28,0,,,TRUE,18-24,M,BLACK,18-24,M,BLACK
84704352,BROOKLYN,,75,2,,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,18-24,M,BLACK
34864269,BROOKLYN,,79,0,,,FALSE,UNKNOWN,M,BLACK,45-64,M,BLACK
11118846,BROOKLYN,,78,0,,CLOTHING BOUTIQUE,FALSE,25-44,M,BLACK,25-44,M,BLACK
174579538,STATEN ISLAND,,120,0,,,FALSE,18-24,M,BLACK HISPANIC,45-64,M,BLACK
94046068,BROOKLYN,,75,0,,,FALSE,18-24,F,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK
80165538,BROOKLYN,,90,0,,GAS STATION,FALSE,,,,45-64,M,ASIAN / PACIFIC ISLANDER
86437257,BROOKLYN,,73,0,,GROCERY/BODEGA,FALSE,18-24,M,BLACK,18-24,M,BLACK
33635440,BROOKLYN,,75,0,,,FALSE,25-44,M,BLACK,25-44,M,BLACK
235757726,BROOKLYN,,79,0,,,TRUE,25-44,M,BLACK,18-24,M,BLACK
233762539,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,WHITE HISPANIC
158566071,BROOKLYN,,73,0,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK
166268793,BROOKLYN,,73,0,,,FALSE,,,,25-44,M,BLACK
24659051,BROOKLYN,,75,0,,,FALSE,UNKNOWN,M,BLACK,65,M,WHITE HISPANIC
226500707,BROOKLYN,,75,0,,,FALSE,,,,25-44,M,BLACK
66629764,MANHATTAN,,34,0,,BAR/NIGHT CLUB,FALSE,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC
85209346,QUEENS,,103,0,,,TRUE,,,,18-24,M,BLACK
46538075,BROOKLYN,,81,0,,PVT HOUSE,FALSE,UNKNOWN,M,BLACK,<18,M,BLACK
37207873,BROOKLYN,,75,2,,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK
94814972,MANHATTAN,,13,0,,,FALSE,UNKNOWN,U,UNKNOWN,18-24,M,WHITE HISPANIC
33654457,MANHATTAN,,28,2,,MULTI DWELL - PUBLIC HOUS,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK
214729488,BROOKLYN,,83,0,,PVT HOUSE,FALSE,25-44,M,WHITE HISPANIC,45-64,M,BLACK
75546157,BROOKLYN,,75,0,,,FALSE,UNKNOWN,M,BLACK,18-24,M,BLACK
88638007,BRONX,,49,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,F,WHITE HISPANIC,18-24,M,BLACK
72058235,STATEN ISLAND,,120,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,WHITE HISPANIC,18-24,M,BLACK
16631430,BROOKLYN,,67,0,,,FALSE,,U,UNKNOWN,18-24,M,BLACK
55177455,BRONX,,44,0,,MULTI DWELL - APT BUILD,FALSE,45-64,M,BLACK,45-64,F,BLACK
153724448,BROOKLYN,,81,0,,MULTI DWELL - APT BUILD,TRUE,,,,25-44,M,BLACK
24248675,QUEENS,,105,0,,,TRUE,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,BLACK
73492927,BROOKLYN,,75,0,,MULTI DWELL - APT BUILD,FALSE,,,,45-64,M,BLACK
16631508,BRONX,,52,0,,NONE,TRUE,<18,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC
152662569,BROOKLYN,,63,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK
230418793,BRONX,,47,0,,,FALSE,25-44,M,BLACK,25-44,M,BLACK
142961824,BRONX,,48,0,,,FALSE,25-44,M,BLACK,18-24,M,BLACK HISPANIC
69223004,QUEENS,,101,0,,,FALSE,18-24,M,BLACK,<18,M,BLACK
224817400,MANHATTAN,,28,0,,COMMERCIAL BLDG,FALSE,,,,25-44,M,BLACK
138429906,QUEENS,,110,0,,,FALSE,,,,18-24,M,BLACK
171866986,BROOKLYN,,75,0,,MULTI DWELL - APT BUILD,TRUE,18-24,M,BLACK,25-44,F,BLACK
211767651,BROOKLYN,,67,0,,,FALSE,,,,25-44,M,BLACK
173914520,BRONX,,40,0,,,FALSE,,,,25-44,M,BLACK HISPANIC
74648839,BRONX,,44,0,,MULTI DWELL - APT BUILD,FALSE,<18,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC
73719656,BROOKLYN,,67,0,,SMALL MERCHANT,FALSE,18-24,M,BLACK,<18,M,BLACK
82124624,BRONX,,41,0,,BAR/NIGHT CLUB,TRUE,,,,25-44,M,WHITE HISPANIC
201384969,BROOKLYN,,73,0,,,TRUE,25-44,M,BLACK,25-44,M,BLACK
235964022,BROOKLYN,,67,0,,,FALSE,,,,25-44,M,BLACK
140105763,BRONX,,42,0,,,TRUE,,,,25-44,M,BLACK
63106907,BRONX,,43,0,,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,BLACK
25313903,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK HISPANIC,<18,M,BLACK
65323134,BROOKLYN,,71,0,,,FALSE,18-24,M,BLACK,18-24,F,BLACK
88547669,BROOKLYN,,67,0,,,TRUE,,,,25-44,M,BLACK
28883127,BROOKLYN,,71,0,,MULTI DWELL - APT BUILD,TRUE,18-24,M,BLACK,18-24,M,BLACK
36260245,BRONX,,44,0,,,FALSE,25-44,M,BLACK,25-44,M,BLACK
45710115,MANHATTAN,,26,0,,MULTI DWELL - PUBLIC HOUS,FALSE,45-64,M,BLACK HISPANIC,25-44,M,BLACK
140591801,QUEENS,,114,0,,MULTI DWELL - APT BUILD,FALSE,18-24,M,BLACK,18-24,M,WHITE
178830276,BRONX,,52,0,,,TRUE,25-44,M,BLACK,25-44,M,BLACK
93924058,BROOKLYN,,77,0,,BEAUTY/NAIL SALON,FALSE,18-24,M,BLACK,25-44,M,BLACK
75866798,QUEENS,,103,0,,PVT HOUSE,FALSE,UNKNOWN,M,BLACK,25-44,M,BLACK
166413154,MANHATTAN,,23,2,,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,18-24,M,BLACK
32787000,BRONX,,42,0,,,FALSE,25-44,M,BLACK,45-64,M,BLACK
227950667,MANHATTAN,,25,2,,MULTI DWELL - PUBLIC HOUS,FALSE,,,,45-64,M,BLACK HISPANIC
93312839,BROOKLYN,,76,2,,MULTI DWELL - PUBLIC HOUS,FALSE,45-64,M,BLACK,45-64,M,BLACK
49834896,BRONX,,41,0,,BAR/NIGHT CLUB,TRUE,25-44,M,BLACK,18-24,M,WHITE HISPANIC
10804594,QUEENS,,103,0,,NONE,FALSE,25-44,M,BLACK,18-24,M,BLACK
226654026,MANHATTAN,,14,0,,,FALSE,18-24,M,BLACK,25-44,M,WHITE
204458419,BRONX,,47,0,,,FALSE,25-44,M,BLACK,25-44,M,BLACK
140435608,BROOKLYN,,83,0,,,FALSE,18-24,M,BLACK,25-44,M,WHITE
61170259,BROOKLYN,,67,0,,PVT HOUSE,FALSE,25-44,M,BLACK,25-44,M,BLACK
236325239,BROOKLYN,,71,0,,,FALSE,,,,25-44,M,BLACK
215767017,BROOKLYN,,71,0,,,TRUE,25-44,M,BLACK,25-44,M,BLACK
85875439,BRONX,,42,2,,MULTI DWELL - PUBLIC HOUS,FALSE,<18,M,BLACK,<18,M,BLACK
